bigg_id	smiles	mol_weight	xlogp	hbond_acceptor	hbond_donor	tpsa	ring_count	formal_charge
CE4840		1074.0	0.9	23	10	409.0	0	0
CE4835		1080.0	1.8	22	9	389.0	0	0
CE4841		1072.0	1.0	23	9	406.0	0	0
CE4843		1058.0	2.2	22	9	389.0	0	0
CE4845		1098.0	1.4	23	9	406.0	0	0
CE4847		1084.1	2.6	22	9	389.0	0	0
CE4842		1056.0	2.1	22	9	389.0	0	0
CE4846		1082.0	2.5	22	9	389.0	0	0
CE4844		1100.1	1.3	23	10	409.0	0	0
CE4849		1126.1	1.7	23	10	409.0	0	0
CE4850		1096.0	0.7	23	9	406.0	0	0
CE4851		1124.1	1.8	23	9	406.0	0	0
CE4848		1098.0	0.6	23	10	409.0	0	0
CE4852		1080.0	1.8	22	9	389.0	0	0
CE4853		1108.1	2.9	22	9	389.0	0	0
CE4854		1082.0	1.9	22	9	389.0	0	0
CE4855		1110.1	3.0	22	9	389.0	0	0
CE4877		316.4	5.0	3	1	54.4	0	0
CE4888		149.15	-0.4	3	1	46.2	0	0
CE4876		334.4	3.9	4	2	74.6	0	0
CE4890		193.24	1.5	3	2	43.7	0	0
CE4969		145.16	0.2	3	2	66.4	0	0
CE4968		159.18	1.5	3	2	66.4	0	0
CE4970		159.18	0.5	3	2	66.4	0	0
CE4987		338.5	4.3	4	3	77.8	0	0
CE4990		334.4	4.1	4	2	74.6	0	0
CE5022		446.7	8.8	3	1	54.4	0	0
CE5026		502.5	-6.6	13	9	288.0	0	0
CE5072		334.5	4.2	3	2	57.5	0	0
CE5126		1044.0	2.1	22	5	400.0	0	0
CE5178		334.4	4.0	4	2	74.6	0	0
CE5586		146.25	-1.4	0	3	69.3	0	0
CE5236		239.23	-2.3	6	5	119.0	0	0
CE5276		151.16	-0.8	3	1	60.2	0	0
CE5629		177.2	0.9	3	2	52.8	0	0
CE5304		334.4	3.8	4	2	74.6	0	0
CE5643		62.005	-0.5	4	0	61.7	0	0
CE5626		223.22	-1.7	5	4	89.8	0	0
CE5665		151.16	1.2	3	3	52.5	0	0
CE5788		912.1	-4.3	13	13	407.0	0	0
CE5791		718.8	-2.3	10	9	284.0	0	0
CE5798		504.6	0.1	7	5	162.0	0	0
CE5797		745.9	-0.7	10	8	246.0	0	0
CE5787		358.44	-3.7	6	6	186.0	0	0
CE5789		1059.2	-3.0	14	14	436.0	0	0
CE5853		454.5	1.6	10	5	163.0	0	0
CE5867		487.5	-5.4	10	7	228.0	0	0
CE5869		243.3	-3.3	5	3	110.0	0	0
CE5944		336.5	3.9	4	2	74.6	0	0
CE5945		370.5	2.2	6	5	118.0	0	0
CE5946		386.5	1.5	7	6	138.0	0	0
CE6230		338.5	5.8	4	2	66.8	0	0
CE6205		191.23	0.8	2	2	45.3	0	0
CE6246		336.5	4.1	4	3	77.8	0	0
CE6232		370.5	4.6	6	2	85.2	0	0
CE6234		354.5	4.5	5	2	76.0	0	0
CE6247		352.5	2.5	5	4	98.0	0	0
CE6506		156.22	1.8	2	0	29.6	0	0
CE6504		74.12	0.9	1	0	9.2	0	0
CE7079		315.4	5.3	3	0	52.7	0	0
CE7081		318.4	4.5	3	2	57.5	0	0
CE7082		318.4	4.5	3	2	57.5	0	0
CE7083		334.4	3.4	4	3	77.8	0	0
CE7088		350.4	3.2	5	2	76.0	0	0
CE7091		238.31	-4.0	6	2	89.5	0	0
CE7090		318.4	4.6	3	2	57.5	0	0
CE7172		336.5	3.7	4	3	77.8	0	0
HC00250		33.08	0.5	1	1	1.0	0	0
CE7096		336.5	4.0	4	3	77.8	0	0
HC00460		153.11	2.3	4	2	80.6	0	0
HC00361		366.11	-6.4	13	4	243.0	0	0
HC00576		240.26	-3.6	5	4	121.0	0	0
HC00591		144.11	-0.9	4	1	100.0	0	0
HC00682		249.4	1.3	4	2	86.5	0	0
HC00822		340.33	-5.5	11	8	209.0	0	0
HC00664		258.12	-4.1	9	4	163.0	0	0
HC01104		217.07	0.2	6	0	118.0	0	0
HC00718		154.08	-4.4	4	1	89.0	0	0
HC01118		586.7	7.9	7	3	113.0	0	0
HC00955		114.1	-3.7	4	2	87.1	0	0
HC01361		255.23	-3.3	7	6	153.0	0	0
HC01223		853.6	-5.8	23	10	409.0	0	0
HC01254		239.23	-1.6	6	5	129.0	0	0
HC01180		336.08	-5.9	12	3	215.0	0	0
HC01377		291.5	2.6	4	2	86.5	0	0
HC01376		291.5	2.7	4	2	86.5	0	0
HC01444		254.23	-3.4	8	6	140.0	0	0
HC01434		187.08	0.8	7	0	137.0	0	0
HC01440		178.14	-2.2	6	4	107.0	0	0
HC01446		340.28	-4.6	11	7	194.0	0	0
HC01459		1216.2	-1.5	26	13	470.0	0	0
HC01496		175.14	-4.0	6	3	118.0	0	0
HC01501		113.14	0.3	4	1	101.0	0	0
HC01522		138.12	1.2	3	2	57.5	0	0
HC01577		243.22	-4.4	7	4	154.0	0	0
HC01609		828.7	5.2	16	4	384.0	0	0
HC01700		199.21	-4.2	5	3	116.0	0	0
HC01672		389.26	-2.9	12	4	192.0	0	0
HC01668		403.28	-2.5	12	4	192.0	0	0
HC01842		169.12	-3.8	5	2	70.0	0	0
HC01712		321.5	1.1	6	3	124.0	0	0
HC02022		653.1	17.5	2	0	26.3	0	0
HC02057		136.15	-2.4	4	4	80.9	0	0
HC02060		150.4	0.0	0	0	0.0	0	0
HC02110		398.7	8.0	1	1	20.2	0	0
HC02121		336.34	-3.4	8	4	212.0	0	0
HC02180		370.5	2.4	6	4	107.0	0	0
HC02187		650.97	1.7	5	3	92.8	0	0
HC02191		375.6	6.9	3	1	60.4	0	0
HC02192		483.7	4.9	5	3	112.0	0	0
HC02193		432.6	6.3	4	2	89.5	0	0
HC02194		392.6	4.9	4	3	77.8	0	0
HC02195		498.7	3.5	6	3	135.0	0	0
HC02196		449.6	4.3	5	4	107.0	0	0
HC02197		511.7	5.8	7	1	144.0	0	0
HC02204		336.5	4.0	4	2	74.6	0	0
